idCrafteo,item,costoBase,cantidad,nickname,danio,encantada
1,Espada de diamante,50.0,1,Steve_99,7,si
2,Espada de hierro,20.0,2,Alex_Miner,6,no
3,Hacha de netherita,90.0,1,CreeperSlayer,10,si
4,Arco,15.0,3,NoobMaster,5,no
5,Tridente,120.0,1,Herobrine_X,9,si
6,Espada de piedra,10.0,4,ZombieHunter,5,no
7,Ballesta,40.0,2,PixelQueen,6,si
8,Espada de oro,25.0,1,EnderKnight,4,no
9,Hacha de diamante,60.0,2,LavaWalker,9,no
10,Mazo,150.0,1,RedstoneRita,15,si
11,Espada de netherita,110.0,1,DiamondDave,8,si
12,Lanza,30.0,5,GolemBuilder,4,no
