tipo,idPartida,mapa,duracionMinutos,eliminaciones,victoria,battletag,eventoORacha
1,1,Kings Row,12,10,si,Ana_Sniper,no
2,2,Numbani,25,18,si,Genji_Main,3
1,3,Ilios,10,5,no,Winston_Lab,si
2,4,Route 66,30,22,no,RoadHog_Pro,0
2,5,Hanamura,15,12,si,Widow_Eyes,5
1,6,Junkertown,8,3,no,Junkrat_Boom,no
1,7,Dorado,15,12,si,Mercy_Angel,si
2,8,Eichenwalde,35,25,si,DVa_Gamer,8
1,9,Busan,14,9,si,Soldier_76,no
2,10,Oasis,28,10,no,Lucio_Beats,0
2,11,Havana,22,12,si,Baptiste_Doc,2
1,12,Lijiang Tower,18,14,si,Zarya_Gym,si
1,13,Rialto,11,6,no,Ana_Sniper,no
2,14,Gibraltar,26,20,si,RoadHog_Pro,4
2,15,Circuito Real,20,15,si,Zarya_Gym,1
1,16,Nepal,16,11,si,Lucio_Beats,no
